"no","id","symbol","name","date_achat","montant","portefeuille","wallet","exchange","date_verification","observation"
"863","0x","zrx","0x","1970-01-01","0","0",,,"1970-01-01",
"613","ark","ark","Ark","1970-01-01","0","0",,,"1970-01-01","

"
"33453","notcoin","not","Notcoin",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"677","basic-attention-token","bat","Basic Attention Token","1970-01-01","0","0",,,"1970-01-01","Adresse portefeuille récompenses BAT : 0xF105f702E0eB62d8FA23a4974262B80bccb6Ed24"
"869","propy","pro","Propy","1970-01-01","0","0",,,"1970-01-01",
"825","binancecoin","bnb","Binance Coin","2019-07-09","510.02787191629","8.98281884","Voir Fichier Excel","Voir Fichier Excel","2026-03-19","Rabby EWC BSC
Lista DAO (https://lista.org/liquid-staking/BNB) 0,7941 BNB disponibles le 25/04/26"
"12632","pancakeswap-token","cake","PancakeSwap","1970-01-01","0","0",,,"1970-01-01",
"50648","deep","deep","DeepBook",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1","bitcoin","btc","Bitcoin","2018-03-25","11763.7717813172","1.00305831","Voir fichier Excel","Voir fichier Excel","2026-04-21","Adresses Blockchain :
bc1q6nke68rdx4wss4zqy57a2g3jkywfu0lqn7p9jk (0,80022151)
bc1qwwhnxlgzd57rpcspxzn8urmkn5dnqjd08x4jd7 (0,18979207)
bc1q0upukcs7stamuvv3w7rad3gg8dyxt7ym8c27yu (0,01)

Electrum
Lancer en console avec la commande (à partir de Téléchargements) : 
python3 ~/Téléchargements/Electrum-4.7.0/run_electrum


"
"780","bitcoin-cash","bch","Bitcoin Cash","2023-08-05","422.873732807466","0.69222036","Electron Cash",,"2026-05-23",
"21061","biconomy","bico","Biconomy",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"975","cardano","ada","Cardano","1970-01-01","0","0",,,"1970-01-01",
"877","chainlink","link","ChainLink","2024-03-03","16.503113704897","56.44715509","Rabby Principal Arbitrum",,"2026-04-05","Placés en lending sur Dolomite à 1,21%
https://app.dolomite.io/earn"
